id;continent;humidity;pressure;temperature;wind_direction;wind_speed;rain;snow;station;date;min_temp;max_temp;rainy_days;foggy_days;snowy_days;stormy_days;cloudy_days
"0";North America;45.61424731182796;1020.4139784946236;2.913319892473112;204.72043010752688;3.817862903225806;"0";"0";Albuquerque;2015-01-31;1.3157930107527136;4.262862903225823;"0";"0";"0.0361111111111111";"0";"0.75"
1;North America;40.67857142857143;1016.3482142857144;4.861071428571449;199.00892857142856;3.891354166666667;"0.000595238095238";"0";Albuquerque;2015-02-28;3.258616071428605;6.1790773809523785;"0.0013888888888888";"0";"0.0458333333333333";"0";"0.5972222222222222"
2;North America;32.80241935483871;1017.361559139785;9.010981182795716;202.30376344086025;4.312298387096774;"0.0068145161290322";"0";Albuquerque;2015-03-31;7.300994623655924;10.339368279569896;"0.0041666666666666";"0";"0.0069444444444444";"0";"0.675"
3;North America;26.39583333333333;1015.9194444444444;14.26916666666665;181.09583333333333;5.129833333333333;"0.0167222222222222";"0";Albuquerque;2015-04-30;12.621847222222245;15.663319444444484;"0.0180555555555555";"0";"0";"0";"0.7388888888888889"
4;North America;27.969086021505376;1016.994623655914;19.757325268817223;175.6760752688172;4.911881720430108;"0.0110349462365591";"0";Albuquerque;2015-05-31;17.961854838709712;21.326801075268804;"0.0138888888888888";"0";"0";"0";"0.8152777777777778"
5;North America;29.791666666666668;1017.9625;25.366472222222228;165.16805555555555;4.472513888888889;"0.03125";"0";Albuquerque;2015-06-30;23.48919444444448;26.985166666666714;"0.0347222222222222";"0";"0";"0";"0.8555555555555555"
6;North America;49.94220430107527;1005.0174731182796;25.944126344086044;176.17876344086022;1.5639247311827955;"0.0229301075268817";"0";Albuquerque;2015-07-31;22.35578494623661;28.007506720430115;"0.0263888888888888";"0.0041666666666666";"0";"0.0375";"0.8555555555555555"
7;North America;45.39247311827957;998.0443548387096;25.406424731182824;185.3978494623656;1.280241935483871;"0.0298387096774193";"0";Albuquerque;2015-08-31;21.333158602150547;27.723991935483863;"0.0138888888888888";"0.0013888888888888";"0";"0.0263888888888888";"0.8013888888888889"
8;North America;40.7625;1000.9875;23.559736111111132;178.97916666666666;1.29025;"0.0132222222222222";"0";Albuquerque;2015-09-30;19.563680555555607;25.87427777777782;"0.0138888888888888";"0";"0";"0.0055555555555555";"0.6791666666666667"
9;North America;39.24731182795699;1009.853494623656;15.490819892473157;189.372311827957;1.343481182795699;"0.0118279569892473";"0";Albuquerque;2015-10-31;11.77471774193549;18.05612903225807;"0.0083333333333333";"0.0041666666666666";"0";"0";"0.6152777777777778"
